type,pattern,compromised,recall,symmetryH,symmetryV,length,start,end,stroke,direction,image
p,0.4.8.12.13.14.15,1,1,1.0,1.0,7,0,15,4.5,0,./analysis/4x4/Pattern-Proj-26MAR/correct/18pattern1.bmp
p,0.5.10.15,0,1,0,0,4,0,15,3.181980515339464,0,./analysis/4x4/Pattern-Proj-26MAR/correct/18pattern2.bmp
p,0.4.8.12.13.9.5.1,1,0,1.0,1.0,8,0,1,5.25,0,./analysis/4x4/Pattern-Proj-26MAR/incorrect/18pattern3.bmp
p,4.9.14.11.6.1,0,1,1.0,1.0,6,4,1,5.303300858899106,0,./analysis/4x4/Pattern-Proj-26MAR/correct/0pattern1.bmp
p,1.5.9.13.10.7.6.4,0,1,1.0,1.0,8,1,4,6.621320343559642,0,./analysis/4x4/Pattern-Proj-26MAR/correct/0pattern2.bmp
p,3.6.9.12.13.14.15.11.7.5.4,0,0,1.0,1.0,11,3,4,9.181980515339465,0,./analysis/4x4/Pattern-Proj-26MAR/incorrect/0pattern3.bmp
p,0.4.8.12.9.6.3.7.11.15,0,1,1.0,1.0,10,0,15,7.681980515339463,0,./analysis/4x4/Pattern-Proj-26MAR/correct/11pattern1.bmp
p,0.4.5.6.10.14,0,1,1.0,0.5,6,0,14,3.75,0,./analysis/4x4/Pattern-Proj-26MAR/correct/11pattern3.bmp
p,2.6.10.14.9.4.5.7,0,1,1.0,1.0,8,2,7,6.621320343559642,0,./analysis/4x4/Pattern-Proj-26MAR/correct/11pattern2.bmp
p,5.9.13.14.15.11.7.10,0,0,1.0,1.0,8,5,10,5.560660171779821,0,./analysis/4x4/Pattern-Proj-26MAR/incorrect/12pattern2.bmp
p,4.9.6.11.14,0,0,0.5,1.0,5,4,14,4.242640687119285,0,./analysis/4x4/Pattern-Proj-26MAR/incorrect/12pattern3.bmp
p,4.1.6.3.7,0,0,0.5,1.0,5,4,7,3.931980515339464,0,./analysis/4x4/Pattern-Proj-26MAR/incorrect/12pattern1.bmp
p,1.7.9.15.10.5.0,0,1,0.5,1.0,7,1,0,8.21313346471399,0,./analysis/4x4/Pattern-Proj-26MAR/correct/9pattern1.bmp
